,Winery,Year,Wine ID,Wine,Rating,num_review,price,volume_ml,image,country
70,Wolf Blass,2020,1129971,Eaglehawk Cabernet Sauvignon 2020,3.4,269,7.5,750,//images.vivino.com/thumbs/k1zoB9AERC-70bwYo3i7zA_pl_480x640.png,Australie
71,Château de la Cour d'Argent,2014,1100984,Bordeaux Supérieur 2014,3.5,120,7.5,750,//images.vivino.com/thumbs/z9-DRGRXTnSNIx8XKdntLg_pl_480x640.png,France
72,Aurelia Visinescu,2018,1366693,Nomad Feteasca Neagra 2018,3.5,52,7.5,750,//images.vivino.com/thumbs/hZ8L_3CsQUe7tU645j4oPA_pl_480x640.png,Roumanie
73,Domaine Dieu-Le-Fit - Rémi Pouizin Vignoble,2020,1361593,Les Pious Côtes-du-Rhône 2020,3.6,233,7.5,750,//images.vivino.com/thumbs/gm4HWAVfQ7mYkqjhTQlrFA_pl_480x640.png,France
74,Pittacum,2021,2758426,Petit Pittacum 2021,3.6,34,7.5,750,//images.vivino.com/thumbs/A7GmSTV4RPCK44aMMBqzdg_pl_480x640.png,Espagne
75,Domaine Montmartel,2020,1223952,Côtes-du-Rhône Rouge 2020,4.0,46,7.5,750,//images.vivino.com/thumbs/YDco6F91TiKVFI42-3rjQg_pl_480x640.png,France
76,Château Lajarre,2011,1201298,Eléonore Bordeaux Supérieur 2011,3.3,56,7.5,750,//images.vivino.com/thumbs/1naDfiOBSEWUtKviDnHFHQ_pl_480x640.png,France
77,Château Lamothe Belair,2015,2399443,Bergerac 2015,3.4,127,7.5,750,//images.vivino.com/thumbs/BOJ1GvwhQwOCWum6bjBtxw_pl_480x640.png,France
78,Vignobles Chaigne et Fils,2018,2247469,Château Ballan Larquette Bordeaux Rouge 2018,3.7,63,7.5,750,//images.vivino.com/thumbs/2xtOuE4nRoSlMcotjb2kyg_pl_480x640.png,France
79,Yvon Mau,2015,5692476,Best Bordeaux Quality 2015,3.1,137,7.5,750,//images.vivino.com/thumbs/08rng7gGTHGBbpibXHdULg_pl_480x640.png,France
80,Château Adelaide,2016,2905599,Cuvée Tradition Rouge 2016,3.6,26,7.5,750,//images.vivino.com/thumbs/BNs8P6pISOe40oUKQslh0w_pl_480x640.png,France
81,Les Jamelles,2020,10557,Pinot Noir 2020,3.7,612,7.6,750,//images.vivino.com/thumbs/cARSj7GXT_6JsxX3D-L2cQ_pl_480x640.png,France
82,Camille Cayran,2020,1259912,L'Insouciante Côtes-du-Rhône 2020,3.8,152,7.6,750,//images.vivino.com/thumbs/qaWd858OTQGgHQCwcerE8Q_pl_480x640.png,France
83,Château la Lande de Taleyran,2016,1209269,Bordeaux Supérieur 2016,3.5,30,7.6,750,//images.vivino.com/thumbs/NWkq2SpnRwumm_5M2MK_fw_pl_480x640.png,France
84,Château de Nages,N.V.,6342279,Liberty Nages Rouge Vin de France N.V.,3.5,973,7.7,750,//images.vivino.com/thumbs/52qkcrlSRAe5Qr3QgpQKfw_pl_480x640.png,France
85,Félix Solís,N.V.,7657778,Kingpin N.V.,4.0,4040,7.7,750,//images.vivino.com/thumbs/AtgO05nBSQWpg6mh4oXj4g_pl_480x640.png,Espagne
86,Les Jamelles,2020,2868198,Carignan 2020,4.1,90,7.7,750,//images.vivino.com/thumbs/N_3G2YLLQvawUhb__9QO_w_pl_480x640.png,France
87,Les Jamelles,2019,10558,Mourvèdre 2019,3.7,86,7.7,750,//images.vivino.com/thumbs/A_EYnDzdQRuu27fNHlTobQ_pl_480x640.png,France
88,Domaine Cavalier,2017,5486411,Val de Montferrand Saint-Guilhem-le-Désert Rouge 2017,3.7,52,7.8,750,//images.vivino.com/thumbs/hYHzh5zJR2KUY3x9TJROGA_pl_480x640.png,France
89,Jeff Carrel,2021,1159145,Les Darons Rouge 2021,3.9,77,7.8,750,//images.vivino.com/thumbs/pf8VSiEPRySSTGsUhzpOew_pl_480x640.png,France
90,Estezargues,2021,1159662,Cuvée des Galets Côtes du Rhône 2021,3.5,25,7.8,750,//images.vivino.com/thumbs/dsstJEMSTc6cG7THVBed-Q_pl_480x640.png,France
91,Domaine de Tara,2010,1214473,Terre d'Ocres Rouge 2010,3.6,46,7.8,750,//images.vivino.com/labels/f1pctrZqTVapSbyPmAlCbw.jpg,France
92,Badet Clement,2020,1176476,Oraison Côtes du Rhône 2020,3.7,26,7.9,750,//images.vivino.com/thumbs/q2vv1XjZSXK1og6MQqqzyw_pl_480x640.png,France
93,Les Passeurs de Vins,2020,3761753,El Chocolatero Cariñena 2020,3.9,36,7.9,750,//images.vivino.com/thumbs/lsHFOwevR0yAoo5eqnfV6Q_pl_480x640.png,Espagne
94,Uby,2021,1957424,No. 7 Tannat - Merlot 2021,3.6,27,7.9,750,//images.vivino.com/thumbs/cylQsTUqRp6TSmMq15Ja9w_pl_480x640.png,France
95,Château Roc de Levraut,2019,1174310,Bordeaux Supérieur 2019,3.9,328,7.9,750,//images.vivino.com/thumbs/5rZa7LryRjC5SBQ9pb6A4w_pl_480x640.png,France
96,Famille Perrin,2020,1124242,Côtes-du-Rhône Réserve Rouge 2020,3.7,149,7.9,750,//images.vivino.com/thumbs/bXDqBx_JSRGwzMKfGvtF9Q_pl_480x640.png,France
97,Intruso,2020,5131010,Garnacha 2020,4.0,36,7.9,750,//images.vivino.com/thumbs/mHjAr5e8Thq5XFtXJy4xcQ_pl_480x640.png,Espagne
98,Olivares,2017,5690651,Tinto 2017,3.4,163,7.9,750,//images.vivino.com/thumbs/SSm6YztZQxGswL5UYhwLqw_pl_480x640.png,Espagne
99,Borsao Bodegas,2020,1657138,Joven (Selección) 2020,3.3,43,7.9,750,//images.vivino.com/thumbs/hLicx-_2Tl23qImNRkQsXw_pl_480x640.png,Espagne
100,Delas,2020,14632,Ventoux 2020,3.8,87,7.9,750,//images.vivino.com/thumbs/wsLjzIRVSEKu3sV2KvpfHA_pl_480x640.png,France
101,Bodegas Piqueras,2019,5972511,El Abuelo Garnacha Tintorera 2019,3.9,562,7.95,750,//images.vivino.com/thumbs/jIMeShcVR4ictvwubfKa2w_pl_480x640.png,Espagne
102,Tagaro,2020,4792143,Pinataro Nero di Troia 2020,4.1,74,7.95,750,//images.vivino.com/thumbs/aEzmB6g-TumSZ2FJnoTM1g_pl_480x640.png,Italie
103,Château Tertre de Viaud,2018,1364920,Côtes de Bourg 2018,4.2,59,7.95,750,//images.vivino.com/thumbs/AQvZ2MAgR6eNAah8BEMBQA_pl_480x640.png,France
104,Duprais,2019,1141784,Bordeaux 2019,4.0,151,7.95,750,//images.vivino.com/thumbs/0CkcPFHlRempO2yyYi7OLw_pl_480x640.png,France
105,Château d'Haurets,2019,1425763,Bordeaux Rouge 2019,4.0,55,7.95,750,//images.vivino.com/thumbs/YejkAW--RhiK1SyYZ39ssw_pl_480x640.png,France
106,Domaine de Blayac,2019,1842778,Minervois 2019,3.9,84,8.0,750,//images.vivino.com/labels/I7ZfrnPMR_uhepv48bAmHg.jpg,France
107,Château La Gorre,2017,1159734,Chateau Haut Peyrillat Médoc 2017,3.9,60,8.0,750,//images.vivino.com/thumbs/6FXLTKiUQb6_aGyTxtUgOg_pl_480x640.png,France
108,Haut Montlong,2018,1238861,Tradition Rouge 2018,3.3,33,8.0,750,//images.vivino.com/thumbs/KhgZsog2Rb6nmkSVJEI4pQ_pl_480x640.png,France
109,Brotte,2021,1138513,Père Anselme Reserve de l'Aube Rouge 2021,4.0,106,8.0,750,//images.vivino.com/thumbs/B-NSfv5_Rye6z8K7CWQmzg_pl_480x640.png,France
110,Château Brillette,2011,97038,Moulis-en-Médoc 2011,3.4,25,8.0,375,//images.vivino.com/thumbs/UjAt_YhDT2qP2gV8V7l9xg_pl_480x640.png,France
111,Domaine de l'Hortus,2021,1251478,Le Loup dans la Bergerie 2021,3.5,86,8.0,750,//images.vivino.com/thumbs/v8p2Lq24RLKKrOaDKm6lqA_pl_480x640.png,France
112,Plaimont,2020,3705713,Domaine de Cassaigne Côtes de Gascogne Rouge 2020,3.9,41,8.0,750,//images.vivino.com/thumbs/PdpJAx-ZT5mcCOQOJQtxSg_pl_480x640.png,France
113,Oisly Thésée,2019,2891946,Jardin des Anges Chinon 2019,3.7,40,8.0,750,//images.vivino.com/thumbs/JKtYjgFCRGShkahh5L4zpQ_pl_480x640.png,France
114,Bigi,2019,28454,Vipra Rossa Umbria 2019,3.6,618,8.1,750,//images.vivino.com/thumbs/Zgc3c356RtGlnD6nqhbyLg_pl_480x640.png,Italie
115,Jean Loron,2020,4312178,Jean Gamay Noir 2020,3.9,291,8.1,750,//images.vivino.com/thumbs/2TH6RpgfTQyVUy18U4rbtg_pl_480x640.png,France
116,Georges Vigouroux,2020,2711403,Pigmentum Malbec 2020,3.7,35,8.1,750,//images.vivino.com/thumbs/d0HQfO24SuiGfm_GNzGzyg_pl_480x640.png,France
117,Château Salitis,2019,1390903,Cuvée Premium Cabardès Rouge 2019,4.1,30,8.23,750,//images.vivino.com/thumbs/uUFfnKraTgqth-JQcGcJGA_pl_480x640.png,France
118,Château Mayne Mazerolles,2018,3746012,Blaye Côtes de Bordeaux 2018,3.8,357,8.3,750,//images.vivino.com/thumbs/C8-UT14kQ9G2x1SbKuHM2Q_pl_480x640.png,France
